Year,Datetime,Stage,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name
1978.0,11 Jun 1978 - 16:45 ,Group 4,Scotland,3.0,2.0,Netherlands
1978.0,14 Jun 1978 - 13:45 ,Group A,Germany FR,0.0,0.0,Italy
1978.0,14 Jun 1978 - 13:45 ,Group A,Netherlands,5.0,1.0,Austria
1978.0,14 Jun 1978 - 16:45 ,Group B,Brazil,3.0,0.0,Peru
1978.0,14 Jun 1978 - 19:15 ,Group B,Argentina,2.0,0.0,Poland
1978.0,18 Jun 1978 - 13:45 ,Group B,Poland,1.0,0.0,Peru
1978.0,18 Jun 1978 - 16:45 ,Group A,Italy,1.0,0.0,Austria
1978.0,18 Jun 1978 - 16:45 ,Group A,Germany FR,2.0,2.0,Netherlands
1978.0,18 Jun 1978 - 19:15 ,Group B,Argentina,0.0,0.0,Brazil
1978.0,21 Jun 1978 - 13:45 ,Group A,Netherlands,2.0,1.0,Italy
1978.0,21 Jun 1978 - 13:45 ,Group A,Austria,3.0,2.0,Germany FR
1978.0,21 Jun 1978 - 16:45 ,Group B,Brazil,3.0,1.0,Poland
1978.0,21 Jun 1978 - 19:15 ,Group B,Argentina,6.0,0.0,Peru
1978.0,24 Jun 1978 - 15:00 ,Match for third place,Brazil,2.0,1.0,Italy
1978.0,25 Jun 1978 - 15:00 ,Final,Argentina,3.0,1.0,Netherlands
1982.0,13 Jun 1982 - 20:00 ,Group 3,Argentina,0.0,1.0,Belgium
1982.0,14 Jun 1982 - 17:15 ,Group 1,Italy,0.0,0.0,Poland
1982.0,14 Jun 1982 - 21:00 ,Group 6,Brazil,2.0,1.0,Soviet Union
1982.0,15 Jun 1982 - 17:15 ,Group 1,Peru,0.0,0.0,Cameroon
1982.0,15 Jun 1982 - 21:00 ,Group 3,Hungary,10.0,1.0,El Salvador
1982.0,15 Jun 1982 - 21:00 ,Group 6,Scotland,5.0,2.0,New Zealand
1982.0,16 Jun 1982 - 17:15 ,Group 2,Germany FR,1.0,2.0,Algeria
1982.0,16 Jun 1982 - 17:15 ,Group 4,England,3.0,1.0,France
1982.0,16 Jun 1982 - 21:00 ,Group 5,Spain,1.0,1.0,Honduras
1982.0,17 Jun 1982 - 17:15 ,Group 2,Chile,0.0,1.0,Austria
1982.0,17 Jun 1982 - 17:45 ,Group 4,Czechoslovakia,1.0,1.0,Kuwait
1982.0,17 Jun 1982 - 21:00 ,Group 5,Yugoslavia,0.0,0.0,Northern Ireland
1982.0,18 Jun 1982 - 17:15 ,Group 1,Italy,1.0,1.0,Peru
1982.0,18 Jun 1982 - 21:00 ,Group 3,Argentina,4.0,1.0,Hungary
1982.0,18 Jun 1982 - 21:00 ,Group 6,Brazil,4.0,1.0,Scotland
1982.0,19 Jun 1982 - 19:15 ,Group 1,Poland,0.0,0.0,Cameroon
1982.0,19 Jun 1982 - 21:00 ,Group 3,Belgium,1.0,0.0,El Salvador
1982.0,19 Jun 1982 - 21:00 ,Group 6,Soviet Union,3.0,0.0,New Zealand
1982.0,20 Jun 1982 - 17:15 ,Group 2,Germany FR,4.0,1.0,Chile
1982.0,20 Jun 1982 - 17:15 ,Group 4,England,2.0,0.0,Czechoslovakia
1982.0,20 Jun 1982 - 21:00 ,Group 5,Spain,2.0,1.0,Yugoslavia
1982.0,21 Jun 1982 - 17:15 ,Group 2,Algeria,0.0,2.0,Austria
1982.0,21 Jun 1982 - 17:15 ,Group 4,France,4.0,1.0,Kuwait
1982.0,21 Jun 1982 - 21:00 ,Group 5,Honduras,1.0,1.0,Northern Ireland
1982.0,22 Jun 1982 - 17:15 ,Group 1,Poland,5.0,1.0,Peru
1982.0,22 Jun 1982 - 21:00 ,Group 3,Belgium,1.0,1.0,Hungary
1982.0,22 Jun 1982 - 21:00 ,Group 6,Soviet Union,2.0,2.0,Scotland
1982.0,23 Jun 1982 - 17:15 ,Group 1,Italy,1.0,1.0,Cameroon
1982.0,23 Jun 1982 - 21:00 ,Group 3,Argentina,2.0,0.0,El Salvador
1982.0,23 Jun 1982 - 21:00 ,Group 6,Brazil,4.0,0.0,New Zealand
1982.0,24 Jun 1982 - 17:15 ,Group 2,Algeria,3.0,2.0,Chile
1982.0,24 Jun 1982 - 17:15 ,Group 4,France,1.0,1.0,Czechoslovakia
1982.0,24 Jun 1982 - 21:00 ,Group 5,Honduras,0.0,1.0,Yugoslavia
1982.0,25 Jun 1982 - 17:15 ,Group 2,Germany FR,1.0,0.0,Austria
1982.0,25 Jun 1982 - 17:15 ,Group 4,England,1.0,0.0,Kuwait
1982.0,25 Jun 1982 - 21:00 ,Group 5,Northern Ireland,1.0,0.0,Spain
1982.0,28 Jun 1982 - 17:15 ,Group 4,Austria,0.0,1.0,France
1982.0,28 Jun 1982 - 21:00 ,Group 1,Poland,3.0,0.0,Belgium
1982.0,29 Jun 1982 - 17:15 ,Group 3,Italy,2.0,1.0,Argentina
1982.0,29 Jun 1982 - 21:00 ,Group 2,Germany FR,0.0,0.0,England
1982.0,01 Jul 1982 - 17:15 ,Group 4,Austria,2.0,2.0,Northern Ireland
1982.0,01 Jul 1982 - 21:00 ,Group 1,Belgium,0.0,1.0,Soviet Union
1982.0,02 Jul 1982 - 17:15 ,Group 3,Argentina,1.0,3.0,Brazil
1982.0,02 Jul 1982 - 21:00 ,Group 2,Germany FR,2.0,1.0,Spain
1982.0,04 Jul 1982 - 17:15 ,Group 4,France,4.0,1.0,Northern Ireland
1982.0,04 Jul 1982 - 21:00 ,Group 1,Poland,0.0,0.0,Soviet Union
1982.0,05 Jul 1982 - 17:15 ,Group 3,Italy,3.0,2.0,Brazil
1982.0,05 Jul 1982 - 21:00 ,Group 2,Spain,0.0,0.0,England
1982.0,08 Jul 1982 - 17:15 ,Semi-finals,Poland,0.0,2.0,Italy
1982.0,08 Jul 1982 - 21:00 ,Semi-finals,Germany FR,3.0,3.0,France
1982.0,10 Jul 1982 - 20:00 ,Match for third place,Poland,3.0,2.0,France
1982.0,11 Jul 1982 - 20:00 ,Final,Italy,3.0,1.0,Germany FR
1986.0,31 May 1986 - 12:00 ,Group A,Bulgaria,1.0,1.0,Italy
1986.0,01 Jun 1986 - 16:00 ,Group C,Canada,0.0,1.0,France
1986.0,01 Jun 1986 - 12:00 ,Group D,Spain,0.0,1.0,Brazil
1986.0,02 Jun 1986 - 12:00 ,Group C,Soviet Union,6.0,0.0,Hungary
1986.0,02 Jun 1986 - 12:00 ,Group A,Argentina,3.0,1.0,Korea Republic
1986.0,02 Jun 1986 - 16:00 ,Group F,Morocco,0.0,0.0,Poland
1986.0,03 Jun 1986 - 12:00 ,Group D,Algeria,1.0,1.0,Northern Ireland
1986.0,03 Jun 1986 - 12:00 ,Group B,Belgium,1.0,2.0,Mexico
1986.0,03 Jun 1986 - 16:00 ,Group F,Portugal,1.0,0.0,England
1986.0,04 Jun 1986 - 12:00 ,Group B,Paraguay,1.0,0.0,Iraq
1986.0,04 Jun 1986 - 16:00 ,Group E,Scotland,0.0,1.0,Denmark
1986.0,04 Jun 1986 - 12:00 ,Group E,Uruguay,1.0,1.0,Germany FR
1986.0,05 Jun 1986 - 12:00 ,Group A,Italy,1.0,1.0,Argentina
1986.0,05 Jun 1986 - 12:00 ,Group C,France,1.0,1.0,Soviet Union
1986.0,05 Jun 1986 - 16:00 ,Group A,Korea Republic,1.0,1.0,Bulgaria
1986.0,06 Jun 1986 - 12:00 ,Group C,Hungary,2.0,0.0,Canada
1986.0,06 Jun 1986 - 12:00 ,Group D,Brazil,1.0,0.0,Algeria
1986.0,06 Jun 1986 - 16:00 ,Group F,England,0.0,0.0,Morocco
1986.0,07 Jun 1986 - 12:00 ,Group D,Northern Ireland,1.0,2.0,Spain
1986.0,07 Jun 1986 - 12:00 ,Group B,Mexico,1.0,1.0,Paraguay
1986.0,07 Jun 1986 - 16:00 ,Group F,Poland,1.0,0.0,Portugal
1986.0,08 Jun 1986 - 12:00 ,Group B,Iraq,1.0,2.0,Belgium
1986.0,08 Jun 1986 - 16:00 ,Group E,Denmark,6.0,1.0,Uruguay
1986.0,08 Jun 1986 - 12:00 ,Group E,Germany FR,2.0,1.0,Scotland
1986.0,09 Jun 1986 - 12:00 ,Group C,Hungary,0.0,3.0,France
1986.0,09 Jun 1986 - 12:00 ,Group C,Soviet Union,2.0,0.0,Canada
1986.0,10 Jun 1986 - 12:00 ,Group A,Korea Republic,2.0,3.0,Italy
1986.0,10 Jun 1986 - 12:00 ,Group A,Argentina,2.0,0.0,Bulgaria
1986.0,11 Jun 1986 - 12:00 ,Group B,Paraguay,2.0,2.0,Belgium
1986.0,11 Jun 1986 - 12:00 ,Group B,Iraq,0.0,1.0,Mexico
1986.0,11 Jun 1986 - 16:00 ,Group F,Portugal,1.0,3.0,Morocco
1986.0,11 Jun 1986 - 16:00 ,Group F,England,3.0,0.0,Poland
1986.0,12 Jun 1986 - 12:00 ,Group D,Northern Ireland,0.0,3.0,Brazil
1986.0,12 Jun 1986 - 12:00 ,Group D,Algeria,0.0,3.0,Spain
1986.0,13 Jun 1986 - 12:00 ,Group E,Scotland,0.0,0.0,Uruguay
1986.0,13 Jun 1986 - 12:00 ,Group E,Denmark,2.0,0.0,Germany FR
1986.0,15 Jun 1986 - 16:00 ,Round of 16,Soviet Union,3.0,4.0,Belgium
1986.0,15 Jun 1986 - 12:00 ,Round of 16,Mexico,2.0,0.0,Bulgaria
1986.0,16 Jun 1986 - 16:00 ,Round of 16,Argentina,1.0,0.0,Uruguay
1986.0,16 Jun 1986 - 12:00 ,Round of 16,Brazil,4.0,0.0,Poland
1986.0,17 Jun 1986 - 12:00 ,Round of 16,Italy,0.0,2.0,France
1986.0,17 Jun 1986 - 16:00 ,Round of 16,Morocco,0.0,1.0,Germany FR
1986.0,18 Jun 1986 - 12:00 ,Round of 16,England,3.0,0.0,Paraguay
1986.0,18 Jun 1986 - 16:00 ,Round of 16,Denmark,1.0,5.0,Spain
1986.0,21 Jun 1986 - 12:00 ,Quarter-finals,Brazil,1.0,1.0,France
1986.0,21 Jun 1986 - 16:00 ,Quarter-finals,Germany FR,0.0,0.0,Mexico
1986.0,22 Jun 1986 - 16:00 ,Quarter-finals,Spain,1.0,1.0,Belgium
1986.0,22 Jun 1986 - 12:00 ,Quarter-finals,Argentina,2.0,1.0,England
1986.0,25 Jun 1986 - 12:00 ,Semi-finals,France,0.0,2.0,Germany FR
1986.0,25 Jun 1986 - 16:00 ,Semi-finals,Argentina,2.0,0.0,Belgium
1986.0,28 Jun 1986 - 12:00 ,Match for third place,France,4.0,2.0,Belgium
1986.0,29 Jun 1986 - 12:00 ,Final,Argentina,3.0,2.0,Germany FR
1990.0,08 Jun 1990 - 18:00 ,Group B,Argentina,0.0,1.0,Cameroon
1990.0,09 Jun 1990 - 17:00 ,Group B,Soviet Union,0.0,2.0,Romania
1990.0,09 Jun 1990 - 17:00 ,Group D,"rn"">United Arab Emirates",0.0,2.0,Colombia
1990.0,09 Jun 1990 - 21:00 ,Group A,Italy,1.0,0.0,Austria
1990.0,10 Jun 1990 - 17:00 ,Group A,USA,1.0,5.0,Czechoslovakia
1990.0,10 Jun 1990 - 21:00 ,Group C,Brazil,2.0,1.0,Sweden
1990.0,10 Jun 1990 - 21:00 ,Group D,Germany FR,4.0,1.0,Yugoslavia
1990.0,11 Jun 1990 - 17:00 ,Group C,Costa Rica,1.0,0.0,Scotland
1990.0,11 Jun 1990 - 21:00 ,Group F,England,1.0,1.0,"rn"">Republic of Ireland"
1990.0,12 Jun 1990 - 17:00 ,Group E,Belgium,2.0,0.0,Korea Republic
1990.0,12 Jun 1990 - 21:00 ,Group F,Netherlands,1.0,1.0,Egypt
1990.0,13 Jun 1990 - 17:00 ,Group E,Uruguay,0.0,0.0,Spain
1990.0,13 Jun 1990 - 21:00 ,Group B,Argentina,2.0,0.0,Soviet Union
1990.0,14 Jun 1990 - 17:00 ,Group B,Cameroon,2.0,1.0,Romania
1990.0,14 Jun 1990 - 17:00 ,Group D,Yugoslavia,1.0,0.0,Colombia
1990.0,14 Jun 1990 - 21:00 ,Group A,Italy,1.0,0.0,USA
1990.0,15 Jun 1990 - 17:00 ,Group A,Austria,0.0,1.0,Czechoslovakia
1990.0,15 Jun 1990 - 21:00 ,Group D,Germany FR,5.0,1.0,"rn"">United Arab Emirates"
1990.0,16 Jun 1990 - 17:00 ,Group C,Brazil,1.0,0.0,Costa Rica
1990.0,16 Jun 1990 - 21:00 ,Group C,Sweden,1.0,2.0,Scotland
1990.0,16 Jun 1990 - 21:00 ,Group F,England,0.0,0.0,Netherlands
1990.0,17 Jun 1990 - 17:00 ,Group F,"rn"">Republic of Ireland",0.0,0.0,Egypt
1990.0,17 Jun 1990 - 21:00 ,Group E,Korea Republic,1.0,3.0,Spain
1990.0,17 Jun 1990 - 21:00 ,Group E,Belgium,3.0,1.0,Uruguay
1990.0,18 Jun 1990 - 21:00 ,Group B,Argentina,1.0,1.0,Romania
1990.0,18 Jun 1990 - 21:00 ,Group B,Cameroon,0.0,4.0,Soviet Union
1990.0,19 Jun 1990 - 17:00 ,Group D,Germany FR,1.0,1.0,Colombia
1990.0,19 Jun 1990 - 17:00 ,Group D,Yugoslavia,4.0,1.0,"rn"">United Arab Emirates"
1990.0,19 Jun 1990 - 21:00 ,Group A,Italy,2.0,0.0,Czechoslovakia
1990.0,19 Jun 1990 - 21:00 ,Group A,Austria,2.0,1.0,USA
1990.0,20 Jun 1990 - 21:00 ,Group C,Brazil,1.0,0.0,Scotland
1990.0,20 Jun 1990 - 21:00 ,Group C,Sweden,1.0,2.0,Costa Rica
1990.0,21 Jun 1990 - 17:00 ,Group E,Korea Republic,0.0,1.0,Uruguay
1990.0,21 Jun 1990 - 17:00 ,Group E,Belgium,1.0,2.0,Spain
1990.0,21 Jun 1990 - 21:00 ,Group F,"rn"">Republic of Ireland",1.0,1.0,Netherlands
1990.0,21 Jun 1990 - 21:00 ,Group F,England,1.0,0.0,Egypt
1990.0,23 Jun 1990 - 17:00 ,Round of 16,Cameroon,2.0,1.0,Colombia
1990.0,23 Jun 1990 - 21:00 ,Round of 16,Czechoslovakia,4.0,1.0,Costa Rica
1990.0,24 Jun 1990 - 17:00 ,Round of 16,Brazil,0.0,1.0,Argentina
1990.0,24 Jun 1990 - 21:00 ,Round of 16,Germany FR,2.0,1.0,Netherlands
1990.0,25 Jun 1990 - 17:00 ,Round of 16,"rn"">Republic of Ireland",0.0,0.0,Romania
1990.0,25 Jun 1990 - 21:00 ,Round of 16,Italy,2.0,0.0,Uruguay
1990.0,26 Jun 1990 - 17:00 ,Round of 16,Spain,1.0,2.0,Yugoslavia
1990.0,26 Jun 1990 - 21:00 ,Round of 16,England,1.0,0.0,Belgium
1990.0,30 Jun 1990 - 17:00 ,Quarter-finals,Yugoslavia,0.0,0.0,Argentina
1990.0,30 Jun 1990 - 21:00 ,Quarter-finals,Italy,1.0,0.0,"rn"">Republic of Ireland"
1990.0,01 Jul 1990 - 17:00 ,Quarter-finals,Germany FR,1.0,0.0,Czechoslovakia
1990.0,01 Jul 1990 - 21:00 ,Quarter-finals,England,3.0,2.0,Cameroon
1990.0,03 Jul 1990 - 20:00 ,Semi-finals,Italy,1.0,1.0,Argentina
1990.0,04 Jul 1990 - 20:00 ,Semi-finals,Germany FR,1.0,1.0,England
1990.0,07 Jul 1990 - 20:00 ,Match for third place,Italy,2.0,1.0,England
1990.0,08 Jul 1990 - 20:00 ,Final,Germany FR,1.0,0.0,Argentina
1994.0,17 Jun 1994 - 19:30 ,Group C,Spain,2.0,2.0,Korea Republic
1994.0,17 Jun 1994 - 15:00 ,Group C,Germany,1.0,0.0,Bolivia
1994.0,18 Jun 1994 - 11:30 ,Group A,USA,1.0,1.0,Switzerland
1994.0,18 Jun 1994 - 16:00 ,Group E,Italy,0.0,1.0,"rn"">Republic of Ireland"
1994.0,18 Jun 1994 - 19:30 ,Group A,Colombia,1.0,3.0,Romania
1994.0,19 Jun 1994 - 12:30 ,Group F,Belgium,1.0,0.0,Morocco
1994.0,19 Jun 1994 - 16:00 ,Group E,Norway,1.0,0.0,Mexico
1994.0,19 Jun 1994 - 19:30 ,Group B,Cameroon,2.0,2.0,Sweden
1994.0,20 Jun 1994 - 19:30 ,Group F,Netherlands,2.0,1.0,Saudi Arabia
1994.0,20 Jun 1994 - 16:00 ,Group B,Brazil,2.0,0.0,Russia
1994.0,21 Jun 1994 - 12:30 ,Group D,Argentina,4.0,0.0,Greece
1994.0,21 Jun 1994 - 19:30 ,Group D,Nigeria,3.0,0.0,Bulgaria
1994.0,21 Jun 1994 - 16:00 ,Group C,Germany,1.0,1.0,Spain
1994.0,22 Jun 1994 - 16:00 ,Group A,Romania,1.0,4.0,Switzerland
1994.0,22 Jun 1994 - 19:30 ,Group A,USA,2.0,1.0,Colombia
1994.0,23 Jun 1994 - 16:00 ,Group E,Italy,1.0,0.0,Norway
1994.0,23 Jun 1994 - 19:30 ,Group C,Korea Republic,0.0,0.0,Bolivia
1994.0,24 Jun 1994 - 12:30 ,Group E,Mexico,2.0,1.0,"rn"">Republic of Ireland"
1994.0,24 Jun 1994 - 19:30 ,Group B,Sweden,3.0,1.0,Russia
1994.0,24 Jun 1994 - 16:00 ,Group B,Brazil,3.0,0.0,Cameroon
1994.0,25 Jun 1994 - 12:30 ,Group F,Belgium,1.0,0.0,Netherlands
1994.0,25 Jun 1994 - 12:30 ,Group F,Saudi Arabia,2.0,1.0,Morocco
1994.0,25 Jun 1994 - 16:00 ,Group D,Argentina,2.0,1.0,Nigeria
1994.0,26 Jun 1994 - 12:30 ,Group D,Bulgaria,4.0,0.0,Greece
1994.0,26 Jun 1994 - 16:00 ,Group A,USA,0.0,1.0,Romania
1994.0,26 Jun 1994 - 16:00 ,Group A,Switzerland,0.0,2.0,Colombia
1994.0,27 Jun 1994 - 16:00 ,Group C,Germany,3.0,2.0,Korea Republic
1994.0,27 Jun 1994 - 16:00 ,Group C,Bolivia,1.0,3.0,Spain
1994.0,28 Jun 1994 - 12:30 ,Group E,"rn"">Republic of Ireland",0.0,0.0,Norway
1994.0,28 Jun 1994 - 16:00 ,Group B,Brazil,1.0,1.0,Sweden
1994.0,28 Jun 1994 - 12:30 ,Group E,Italy,1.0,1.0,Mexico
1994.0,28 Jun 1994 - 16:00 ,Group B,Russia,6.0,1.0,Cameroon
1994.0,29 Jun 1994 - 12:30 ,Group F,Morocco,1.0,2.0,Netherlands
1994.0,29 Jun 1994 - 12:30 ,Group F,Belgium,0.0,1.0,Saudi Arabia
1994.0,30 Jun 1994 - 19:30 ,Group D,Greece,0.0,2.0,Nigeria
1994.0,30 Jun 1994 - 19:30 ,Group D,Argentina,0.0,2.0,Bulgaria
1994.0,02 Jul 1994 - 12:00 ,Round of 16,Germany,3.0,2.0,Belgium
1994.0,02 Jul 1994 - 16:30 ,Round of 16,Spain,3.0,0.0,Switzerland
1994.0,03 Jul 1994 - 12:00 ,Round of 16,Saudi Arabia,1.0,3.0,Sweden
1994.0,03 Jul 1994 - 13:30 ,Round of 16,Romania,3.0,2.0,Argentina
1994.0,04 Jul 1994 - 12:00 ,Round of 16,Netherlands,2.0,0.0,"rn"">Republic of Ireland"
1994.0,04 Jul 1994 - 12:30 ,Round of 16,Brazil,1.0,0.0,USA
1994.0,05 Jul 1994 - 13:00 ,Round of 16,Nigeria,1.0,2.0,Italy
1994.0,05 Jul 1994 - 16:30 ,Round of 16,Mexico,1.0,1.0,Bulgaria
1994.0,09 Jul 1994 - 12:00 ,Quarter-finals,Italy,2.0,1.0,Spain
1994.0,09 Jul 1994 - 14:30 ,Quarter-finals,Netherlands,2.0,3.0,Brazil
1994.0,10 Jul 1994 - 12:00 ,Quarter-finals,Bulgaria,2.0,1.0,Germany
1994.0,10 Jul 1994 - 12:30 ,Quarter-finals,Romania,2.0,2.0,Sweden
1994.0,13 Jul 1994 - 16:00 ,Semi-finals,Bulgaria,1.0,2.0,Italy
1994.0,13 Jul 1994 - 16:30 ,Semi-finals,Sweden,0.0,1.0,Brazil
1994.0,16 Jul 1994 - 12:30 ,Match for third place,Sweden,4.0,0.0,Bulgaria
1994.0,17 Jul 1994 - 12:30 ,Final,Brazil,0.0,0.0,Italy
1998.0,10 Jun 1998 - 17:30 ,Group A,Brazil,2.0,1.0,Scotland
1998.0,10 Jun 1998 - 21:00 ,Group A,Morocco,2.0,2.0,Norway
1998.0,11 Jun 1998 - 17:30 ,Group B,Italy,2.0,2.0,Chile
1998.0,11 Jun 1998 - 21:00 ,Group B,Cameroon,1.0,1.0,Austria
1998.0,12 Jun 1998 - 14:30 ,Group D,Paraguay,0.0,0.0,Bulgaria
1998.0,12 Jun 1998 - 17:30 ,Group C,Saudi Arabia,0.0,1.0,Denmark
1998.0,12 Jun 1998 - 21:00 ,Group C,France,3.0,0.0,South Africa
1998.0,13 Jun 1998 - 14:30 ,Group D,Spain,2.0,3.0,Nigeria
1998.0,13 Jun 1998 - 17:30 ,Group E,Korea Republic,1.0,3.0,Mexico
1998.0,13 Jun 1998 - 21:00 ,Group E,Netherlands,0.0,0.0,Belgium
1998.0,14 Jun 1998 - 14:30 ,Group H,Argentina,1.0,0.0,Japan
1998.0,14 Jun 1998 - 17:30 ,Group F,Yugoslavia,1.0,0.0,Iran
1998.0,14 Jun 1998 - 21:00 ,Group H,Jamaica,1.0,3.0,Croatia
1998.0,15 Jun 1998 - 14:30 ,Group G,England,2.0,0.0,Tunisia
1998.0,15 Jun 1998 - 17:30 ,Group G,Romania,1.0,0.0,Colombia
1998.0,15 Jun 1998 - 21:00 ,Group F,Germany,2.0,0.0,USA
1998.0,16 Jun 1998 - 17:30 ,Group A,Scotland,1.0,1.0,Norway
1998.0,16 Jun 1998 - 21:00 ,Group A,Brazil,3.0,0.0,Morocco
1998.0,17 Jun 1998 - 17:30 ,Group B,Chile,1.0,1.0,Austria
1998.0,17 Jun 1998 - 21:00 ,Group B,Italy,3.0,0.0,Cameroon
1998.0,18 Jun 1998 - 17:30 ,Group C,South Africa,1.0,1.0,Denmark
1998.0,18 Jun 1998 - 21:00 ,Group C,France,4.0,0.0,Saudi Arabia
1998.0,19 Jun 1998 - 17:30 ,Group D,Nigeria,1.0,0.0,Bulgaria
1998.0,19 Jun 1998 - 21:00 ,Group D,Spain,0.0,0.0,Paraguay
1998.0,20 Jun 1998 - 14:30 ,Group H,Japan,0.0,1.0,Croatia
1998.0,20 Jun 1998 - 17:30 ,Group E,Belgium,2.0,2.0,Mexico
1998.0,20 Jun 1998 - 21:00 ,Group E,Netherlands,5.0,0.0,Korea Republic
1998.0,21 Jun 1998 - 14:30 ,Group F,Germany,2.0,2.0,Yugoslavia
1998.0,21 Jun 1998 - 17:30 ,Group H,Argentina,5.0,0.0,Jamaica
1998.0,21 Jun 1998 - 21:00 ,Group F,USA,1.0,2.0,Iran
1998.0,22 Jun 1998 - 17:30 ,Group G,Colombia,1.0,0.0,Tunisia
1998.0,22 Jun 1998 - 21:00 ,Group G,Romania,2.0,1.0,England
1998.0,23 Jun 1998 - 16:00 ,Group B,Italy,2.0,1.0,Austria
1998.0,23 Jun 1998 - 16:00 ,Group B,Chile,1.0,1.0,Cameroon
1998.0,23 Jun 1998 - 21:00 ,Group A,Scotland,0.0,3.0,Morocco
1998.0,23 Jun 1998 - 21:00 ,Group A,Brazil,1.0,2.0,Norway
1998.0,24 Jun 1998 - 16:00 ,Group C,France,2.0,1.0,Denmark
1998.0,24 Jun 1998 - 16:00 ,Group C,South Africa,2.0,2.0,Saudi Arabia
1998.0,24 Jun 1998 - 21:00 ,Group D,Spain,6.0,1.0,Bulgaria
1998.0,24 Jun 1998 - 21:00 ,Group D,Nigeria,1.0,3.0,Paraguay
1998.0,25 Jun 1998 - 16:00 ,Group E,Belgium,1.0,1.0,Korea Republic
1998.0,25 Jun 1998 - 16:00 ,Group E,Netherlands,2.0,2.0,Mexico
1998.0,25 Jun 1998 - 21:00 ,Group F,Germany,2.0,0.0,Iran
1998.0,25 Jun 1998 - 21:00 ,Group F,USA,0.0,1.0,Yugoslavia
1998.0,26 Jun 1998 - 16:00 ,Group H,Japan,1.0,2.0,Jamaica
1998.0,26 Jun 1998 - 16:00 ,Group H,Argentina,1.0,0.0,Croatia
1998.0,26 Jun 1998 - 21:00 ,Group G,Romania,1.0,1.0,Tunisia
1998.0,26 Jun 1998 - 21:00 ,Group G,Colombia,0.0,2.0,England
1998.0,27 Jun 1998 - 16:30 ,Round of 16,Italy,1.0,0.0,Norway
1998.0,27 Jun 1998 - 21:00 ,Round of 16,Brazil,4.0,1.0,Chile
1998.0,28 Jun 1998 - 16:30 ,Round of 16,France,1.0,0.0,Paraguay
1998.0,28 Jun 1998 - 21:00 ,Round of 16,Nigeria,1.0,4.0,Denmark
1998.0,29 Jun 1998 - 16:30 ,Round of 16,Germany,2.0,1.0,Mexico
1998.0,29 Jun 1998 - 21:00 ,Round of 16,Netherlands,2.0,1.0,Yugoslavia
1998.0,30 Jun 1998 - 16:30 ,Round of 16,Romania,0.0,1.0,Croatia
1998.0,30 Jun 1998 - 21:00 ,Round of 16,Argentina,2.0,2.0,England
1998.0,03 Jul 1998 - 16:30 ,Quarter-finals,Italy,0.0,0.0,France
1998.0,03 Jul 1998 - 21:00 ,Quarter-finals,Brazil,3.0,2.0,Denmark
1998.0,04 Jul 1998 - 16:30 ,Quarter-finals,Netherlands,2.0,1.0,Argentina
1998.0,04 Jul 1998 - 21:00 ,Quarter-finals,Germany,0.0,3.0,Croatia
1998.0,07 Jul 1998 - 21:00 ,Semi-finals,Brazil,1.0,1.0,Netherlands
1998.0,08 Jul 1998 - 21:00 ,Semi-finals,France,2.0,1.0,Croatia
1998.0,11 Jul 1998 - 21:00 ,Match for third place,Netherlands,1.0,2.0,Croatia
1998.0,12 Jul 1998 - 21:00 ,Final,Brazil,0.0,3.0,France
2002.0,31 May 2002 - 20:30 ,Group A,France,0.0,1.0,Senegal
2002.0,01 Jun 2002 - 18:00 ,Group A,Uruguay,1.0,2.0,Denmark
2002.0,01 Jun 2002 - 15:30 ,Group E,"rn"">Republic of Ireland",1.0,1.0,Cameroon
2002.0,01 Jun 2002 - 20:30 ,Group E,Germany,8.0,0.0,Saudi Arabia
2002.0,02 Jun 2002 - 14:30 ,Group F,Argentina,1.0,0.0,Nigeria
2002.0,02 Jun 2002 - 16:30 ,Group B,Paraguay,2.0,2.0,South Africa
2002.0,02 Jun 2002 - 18:30 ,Group F,England,1.0,1.0,Sweden
2002.0,02 Jun 2002 - 20:30 ,Group B,Spain,3.0,1.0,Slovenia
2002.0,03 June 2002 - 18:00 ,Group C,Brazil,2.0,1.0,Turkey
2002.0,03 Jun 2002 - 20:30 ,Group G,Italy,2.0,0.0,Ecuador
2002.0,03 Jun 2002 - 15:30 ,Group G,Croatia,0.0,1.0,Mexico
2002.0,04 June 2002 - 15:30 ,Group C,China PR,0.0,2.0,Costa Rica
2002.0,04 June 2002 - 18:00 ,Group H,Japan,2.0,2.0,Belgium
2002.0,04 Jun 2002 - 20:30 ,Group D,Korea Republic,2.0,0.0,Poland
2002.0,05 Jun 2002 - 15:30 ,Group H,Russia,2.0,0.0,Tunisia
2002.0,05 Jun 2002 - 18:00 ,Group D,USA,3.0,2.0,Portugal
2002.0,05 Jun 2002 - 20:30 ,Group E,Germany,1.0,1.0,"rn"">Republic of Ireland"
2002.0,06 Jun 2002 - 15:30 ,Group A,Denmark,1.0,1.0,Senegal
2002.0,06 Jun 2002 - 18:00 ,Group E,Cameroon,1.0,0.0,Saudi Arabia
2002.0,06 Jun 2002 - 20:30 ,Group A,France,0.0,0.0,Uruguay
2002.0,07 Jun 2002 - 15:30 ,Group F,Sweden,2.0,1.0,Nigeria
2002.0,07 Jun 2002 - 20:30 ,Group F,Argentina,0.0,1.0,England
