Year,Datetime,Stage,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name
1938.0,14 Jun 1938 - 18:00 ,Quarter-finals,Brazil,2.0,1.0,Czechoslovakia
1938.0,16 Jun 1938 - 18:00 ,Semi-finals,Hungary,5.0,1.0,Sweden
1938.0,16 Jun 1938 - 18:00 ,Semi-finals,Italy,2.0,1.0,Brazil
1938.0,19 Jun 1938 - 17:00 ,Match for third place,Brazil,4.0,2.0,Sweden
1938.0,19 Jun 1938 - 17:00 ,Final,Italy,4.0,2.0,Hungary
1950.0,24 Jun 1950 - 15:00 ,Group 1,Brazil,4.0,0.0,Mexico
1950.0,25 Jun 1950 - 15:00 ,Group 2,England,2.0,0.0,Chile
1950.0,25 Jun 1950 - 15:00 ,Group 2,Spain,3.0,1.0,USA
1950.0,25 Jun 1950 - 15:00 ,Group 3,Sweden,3.0,2.0,Italy
1950.0,25 Jun 1950 - 15:00 ,Group 1,Yugoslavia,3.0,0.0,Switzerland
1950.0,28 Jun 1950 - 15:00 ,Group 1,Brazil,2.0,2.0,Switzerland
1950.0,28 Jun 1950 - 15:00 ,Group 1,Yugoslavia,4.0,1.0,Mexico
1950.0,29 Jun 1950 - 15:00 ,Group 2,Spain,2.0,0.0,Chile
1950.0,29 Jun 1950 - 15:30 ,Group 3,Sweden,2.0,2.0,Paraguay
1950.0,29 Jun 1950 - 15:00 ,Group 2,USA,1.0,0.0,England
1950.0,01 Jul 1950 - 15:00 ,Group 1,Brazil,2.0,0.0,Yugoslavia
1950.0,02 Jul 1950 - 15:00 ,Group 2,Spain,1.0,0.0,England
1950.0,02 Jul 1950 - 15:00 ,Group 3,Italy,2.0,0.0,Paraguay
1950.0,02 Jul 1950 - 15:00 ,Group 4,Uruguay,8.0,0.0,Bolivia
1950.0,02 Jul 1950 - 15:40 ,Group 1,Switzerland,2.0,1.0,Mexico
1950.0,02 Jul 1950 - 15:00 ,Group 2,Chile,5.0,2.0,USA
1950.0,09 Jul 1950 - 15:00 ,Group 6,Uruguay,2.0,2.0,Spain
