Country Name,Country Code,Series Name,2023 [YR2023]
Angola,AGO,"Revenue, excluding grants (% of GDP)",..
Angola,AGO,Social contributions (% of revenue),..
Angola,AGO,Interest payments (% of revenue),..
Antigua and Barbuda,ATG,Exports of goods and services (current US$),..
Antigua and Barbuda,ATG,Exports of goods and services (% of GDP),..
Antigua and Barbuda,ATG,GDP (current US$),2033085185
Antigua and Barbuda,ATG,GDP per capita (current US$),21560.21533
Antigua and Barbuda,ATG,Gross domestic savings (% of GDP),..
Antigua and Barbuda,ATG,Gross savings (% of GDP),..
Antigua and Barbuda,ATG,Imports of goods and services (% of GDP),..
Antigua and Barbuda,ATG,"Inflation, GDP deflator (annual %)",4.805475773
Antigua and Barbuda,ATG,Tax revenue (% of GDP),..
Antigua and Barbuda,ATG,"Unemployment, total (% of total labor force) (national estimate)",..
Antigua and Barbuda,ATG,"Life expectancy at birth, total (years)",..
Antigua and Barbuda,ATG,"Interest rate spread (lending rate minus deposit rate, %)",5.337422
Antigua and Barbuda,ATG,Taxes on exports (% of tax revenue),..
Antigua and Barbuda,ATG,"Taxes on income, profits and capital gains (% of revenue)",..
Antigua and Barbuda,ATG,"Revenue, excluding grants (% of GDP)",..
Antigua and Barbuda,ATG,Social contributions (% of revenue),..
Antigua and Barbuda,ATG,Interest payments (% of revenue),..
Argentina,ARG,Exports of goods and services (current US$),82760724362
Argentina,ARG,Exports of goods and services (% of GDP),12.91942461
Argentina,ARG,GDP (current US$),6.40591E+11
Argentina,ARG,GDP per capita (current US$),13730.51471
Argentina,ARG,Gross domestic savings (% of GDP),17.04993202
Argentina,ARG,Gross savings (% of GDP),15.12142697
Argentina,ARG,Imports of goods and services (% of GDP),14.05239192
Argentina,ARG,"Inflation, GDP deflator (annual %)",133.8398673
Argentina,ARG,Tax revenue (% of GDP),..
Argentina,ARG,"Unemployment, total (% of total labor force) (national estimate)",6.139
Argentina,ARG,"Life expectancy at birth, total (years)",..
Argentina,ARG,"Interest rate spread (lending rate minus deposit rate, %)",0.897421188
Argentina,ARG,Taxes on exports (% of tax revenue),..
Argentina,ARG,"Taxes on income, profits and capital gains (% of revenue)",..
Argentina,ARG,"Revenue, excluding grants (% of GDP)",..
Argentina,ARG,Social contributions (% of revenue),..
Argentina,ARG,Interest payments (% of revenue),..
Armenia,ARM,Exports of goods and services (current US$),14086972330
Armenia,ARM,Exports of goods and services (% of GDP),58.18145547
Armenia,ARM,GDP (current US$),24212134631
Armenia,ARM,GDP per capita (current US$),8715.765336
Armenia,ARM,Gross domestic savings (% of GDP),20.64928462
Armenia,ARM,Gross savings (% of GDP),19.17896607
Armenia,ARM,Imports of goods and services (% of GDP),58.86150499
Armenia,ARM,"Inflation, GDP deflator (annual %)",2.83212316
Armenia,ARM,Tax revenue (% of GDP),..
Armenia,ARM,"Unemployment, total (% of total labor force) (national estimate)",..
Armenia,ARM,"Life expectancy at birth, total (years)",..
Armenia,ARM,"Interest rate spread (lending rate minus deposit rate, %)",4.022573807
Armenia,ARM,Taxes on exports (% of tax revenue),..
Armenia,ARM,"Taxes on income, profits and capital gains (% of revenue)",..
Armenia,ARM,"Revenue, excluding grants (% of GDP)",..
Armenia,ARM,Social contributions (% of revenue),..
Armenia,ARM,Interest payments (% of revenue),..
Aruba,ABW,Exports of goods and services (current US$),..
Aruba,ABW,Exports of goods and services (% of GDP),..
Aruba,ABW,GDP (current US$),..
Aruba,ABW,GDP per capita (current US$),..
Aruba,ABW,Gross domestic savings (% of GDP),..
Aruba,ABW,Gross savings (% of GDP),..
Aruba,ABW,Imports of goods and services (% of GDP),..
Aruba,ABW,"Inflation, GDP deflator (annual %)",..
Aruba,ABW,Tax revenue (% of GDP),..
Aruba,ABW,"Unemployment, total (% of total labor force) (national estimate)",..
Aruba,ABW,"Life expectancy at birth, total (years)",..
Aruba,ABW,"Interest rate spread (lending rate minus deposit rate, %)",..
Aruba,ABW,Taxes on exports (% of tax revenue),..
Aruba,ABW,"Taxes on income, profits and capital gains (% of revenue)",..
Aruba,ABW,"Revenue, excluding grants (% of GDP)",..
Aruba,ABW,Social contributions (% of revenue),..
Aruba,ABW,Interest payments (% of revenue),..
Australia,AUS,Exports of goods and services (current US$),4.60641E+11
Australia,AUS,Exports of goods and services (% of GDP),26.72198648
Australia,AUS,GDP (current US$),1.72383E+12
