"nume_tara","cod_tara","exporturi","exporturi (%pib)","pib","pib/nr_loc","economie_interna (%pib)","consum_intern (%pib)","investitii_publice (%pib)","inflatie_consum","investitii_straini (%pib)","urbanizare"
"Switzerland","CHE",682133600000,85.160753714,1.835396e+12,57712.1210299999,39.969835204,32.24518469,62.89004979,1.023314026,4.043,1.772070409
"Syrian Arab Republic","SYR",26970668446.5,39.146212095,47061843716,7249.799326,21.18721359,30.4980539675,42.1708146,5.001720395,3.2155,2.0569694735
"Tajikistan","TJK",26970668446.5,39.146212095,12060602009,1188.993038,21.18721359,28.750923245,42.1708146,2.188219981,2.388,2.341868538
"Tanzania","TZA",14093918474,17.80472914,79158286334,1211.058594,39.969835204,27.0037925225,19.96780807,2.797828615,1.5605,2.6267676025
"Thailand","THA",682133600000,85.160753714,1.835396e+12,7171.808093,25.68075107,25.2566618,63.70691537,1.21998939,0.733,2.911666667
"Timor-Leste","TLS",26970668446.5,39.146212095,2243142908,1648.64729,21.18721359,25.3840502716667,42.1708146,-7.3713722488,3.6076,10.12541041
"Togo","TGO",2192410683,23.90522397,9171261835,1012.973873,0.324250881200001,25.5114387433333,37.5221328,2.594565299,6.4822,8.1589975075
"Tonga","TON",26970668446.5,39.146212095,47061843716,7249.799326,21.18721359,25.638827215,42.1708146,5.001720395,9.3568,6.192584605
"Trinidad and Tobago","TTO",26970668446.5,39.146212095,28139944790,18332.96402,21.18721359,25.7662156866667,42.1708146,-7.3713722488,11.1512,6.020833333
"Tunisia","TUN",24786121214,51.07423831,48529595417,3895.386639,0.324250881200001,25.8936041583333,58.0571521,8.470738527,11.1512,6.55657976157143
"Turkiye","TUR",682133600000,32.26905871,1.835396e+12,12985.75315,26.9813523,26.02099263,34.69412488,26.77868896,9.388,7.09232619014286
"Turkmenistan","TKM",1.331e+10,22.22506651,59887334844,9190.671543,21.18721359,22.883110472,19.888063454,-0.36223624,8.18183333333333,7.62807261871428
"Turks and Caicos Islands","TCA",26970668446.5,39.146212095,1402054391,30438.41759,21.18721359,19.745228314,42.1708146,12.7470392,6.97566666666667,8.16381904728571
"Tuvalu","TUV",26970668446.5,39.146212095,62280311.59,5465.102807,21.18721359,16.607346156,42.1708146,6.004098705,5.7695,8.69956547585714
"Uganda","UGA",6597002337,12.948574106,49272882214,1014.213978,19.20818465,13.469463998,23.84047731,7.958749957,4.56333333333333,9.23531190442857
"Ukraine","UKR",51099518922,28.58602058,1.78757e+11,5181.362793,0.324250881200001,10.33158184,49.51209309,26.77868896,3.35716666666667,9.771058333
"United Arab Emirates","ARE",26970668446.5,39.146212095,5.04173e+11,57712.1210299999,21.18721359,12.861962205,42.1708146,-3.843093552,2.151,8.27681181425
"United Kingdom","GBR",682133600000,32.17265199,1.835396e+12,57712.1210299999,17.44527547,15.39234257,33.41473199,7.119477417,4.025,6.7825652955
"United States","USA",26970668446.5,39.146212095,1.835396e+12,57712.1210299999,21.18721359,14.577398085,42.1708146,3.64499525,3.638,5.28831877675
"Uruguay","URY",21239529493,27.49780014,77240831587,22564.53246,20.51720112,13.7624536,24.23568803,3.43097019,9.458,3.794072258
"Uzbekistan","UZB",24066920244,26.47942073,90889149307,2496.107758,24.11429737,34.86766853,45.47862237,12.23307678,7.50475,4.132991849
"Vanuatu","VUT",26970668446.5,39.146212095,1126313359,3367.094639,21.18721359,29.90726555,42.1708146,11.31002133,5.5515,8.5375
"Venezuela, RB","VEN",26970668446.5,39.146212095,47061843716,7249.799326,21.18721359,24.94686257,42.1708146,5.001720395,3.59825,6.53975
"Viet Nam","VNM",26970668446.5,39.146212095,4.29717e+11,4346.768492,21.18721359,19.98645959,42.1708146,1.906231302,1.645,4.542
"Virgin Islands (U.S.)","VIR",26970668446.5,39.146212095,47061843716,7249.799326,21.18721359,15.02605661,42.1708146,5.001720395,3.1856,15.665681064
"West Bank and Gaza","PSE",3413300000,19.62083891,17396300000,3367.60699,0.324250881200001,10.06565363,66.8946845,-7.3713722488,4.7262,15.665681064
"Yemen, Rep.","YEM",26970668446.5,39.146212095,47061843716,7249.799326,21.18721359,22.1337350125,42.1708146,5.001720395,6.2668,15.665681064
"Zambia","ZMB",11483375957,40.77522436,28162630954,1369.129365,21.18721359,22.1337350125,39.10909,8.885082557,7.8074,15.665681064
"Zimbabwe","ZWE",26970668446.5,39.146212095,26538273499,1592.416574,21.18721359,22.1337350125,42.1708146,26.77868896,9.348,15.665681064
